,Fat%,PRKAA2,FDPS,TGFB2,ELOVL6,MSMO1,HMGCS1,ELOVL7,HMGCR,ELOVL2,TNF,LAMA2,ACAT2,ITGB8,CACNA2D1,CYP51A1,FDFT1,SQLE,ADCY8,TPM2,IDI1,ITGA8,SCD,ADRB1,FADS1,FADS2,DHCR7,SC5D,CACNA1C,MVK,MVD,ITGA3,SGCA,LSS,NSDHL
44,13.69840225,27,2275,20,3936,10686,3621,51,1942,3711,34,346,2633,46,72,93,4861,466,0,550,3237,52,18595,6,2823,5178,7773,5138,53,2181,1452,283,21,4806,2092
14,15.70434841,60,1445,14,2125,7259,3855,61,1429,360,10,654,2197,30,47,222,2778,840,0,628,2495,20,4183,28,1426,771,5032,5993,43,1102,1015,144,26,3304,1133
31,17.21419671,187,4356,34,8219,28686,18709,56,7078,6703,42,447,3301,35,137,120,7697,4622,0,1149,8249,28,67143,13,9198,15345,13012,8032,81,9171,6634,100,120,10530,2359
26,17.63571412,54,1226,26,1830,1710,1929,50,1031,1438,61,271,1305,32,88,144,1739,437,1,690,1436,77,13792,6,1279,1444,2233,3451,74,1697,797,200,55,2416,635
82,17.82918309,64,7542,43,7945,29156,22267,82,6546,2289,101,2143,7075,108,356,618,14248,5215,0,5349,12751,84,74217,6,21910,19535,16044,12729,124,7148,4452,610,527,9071,4418
13,18.04585869,277,4017,52,3439,22320,16896,96,3935,727,39,236,2751,70,61,138,8569,4106,0,941,10502,31,46475,21,10298,10873,12836,3722,112,1551,5789,229,38,4013,3668
21,18.12915725,44,4339,28,4638,35354,11612,44,3449,1412,22,245,4840,34,96,203,10560,3761,0,1101,7893,19,28060,15,4202,3768,10691,11783,61,2744,3576,205,38,11163,2085
61,18.39786171,48,3266,23,7518,26382,7343,29,2263,3734,33,370,3425,38,62,545,9503,2393,0,664,5648,89,79841,31,3903,6753,10943,10418,85,2072,2440,169,80,10757,2495
80,18.7642158,265,4930,8,9270,21621,14469,125,5399,3970,13,998,6830,58,148,335,11117,3967,8,1227,9128,124,14236,5,8003,6455,15923,12687,90,4109,3677,493,125,5583,4843
22,18.91436502,109,26150,13,21568,113994,179274,91,38813,1704,18,731,24812,147,82,1505,53277,17855,0,918,47101,70,194796,85,32129,34269,52823,37397,101,9595,38762,364,160,84296,11605
36,19.22045121,48,861,15,2114,3724,1643,13,1212,878,53,268,968,12,71,46,2080,748,0,1594,1858,257,11059,7,1031,1100,3931,1561,64,1704,1146,224,52,1761,749
90,19.23049178,203,3769,29,7900,25212,17198,42,7590,2484,59,291,7974,116,91,847,9436,6530,0,779,11818,78,40201,3,5242,4887,13908,13583,65,5328,3074,123,44,8067,3325
91,19.23049178,203,3769,29,7900,25212,17198,42,7590,2484,59,291,7974,116,91,847,9436,6530,0,779,11818,78,40201,3,5242,4887,13908,13583,65,5328,3074,123,44,8067,3325
92,19.23049178,203,3769,29,7900,25212,17198,42,7590,2484,59,291,7974,116,91,847,9436,6530,0,779,11818,78,40201,3,5242,4887,13908,13583,65,5328,3074,123,44,8067,3325
58,19.68987758,40,3369,59,4768,11531,4629,40,1229,1121,117,148,2327,35,40,92,3686,736,0,601,5671,47,144655,16,7151,13237,4973,5422,62,6149,2247,301,93,9206,828
23,20.02570159,135,818,28,1553,3745,996,124,1156,144,8,490,347,217,90,5,1244,394,0,2739,1534,151,20828,30,1490,876,5451,1591,291,3095,1235,798,104,2322,654
54,20.04798201,158,3227,2,2736,23256,11836,24,3542,927,95,162,5059,25,36,236,8653,3799,0,488,6740,68,8776,2,3926,4507,9407,6288,61,5515,3952,173,109,13173,3036
77,20.22723868,64,801,12,755,5096,2303,20,1010,321,18,890,1258,26,28,94,2658,375,0,902,1503,97,3292,4,718,936,3233,7028,98,1094,790,171,91,2766,1005
35,20.73302562,52,10420,16,4458,20925,9484,44,3506,1273,129,465,7368,27,99,753,12363,4503,2,1373,9230,49,86021,9,8272,15664,24319,7419,46,5770,6216,312,70,19087,3958
78,21.07196317,66,2031,32,1636,9534,4907,16,2026,602,21,265,3556,17,57,271,3013,1796,0,560,2784,75,109165,138,5799,5321,15524,3579,45,1651,1433,163,13,1672,1390
79,21.07196317,66,2031,32,1636,9534,4907,16,2026,602,21,265,3556,17,57,271,3013,1796,0,560,2784,75,109165,138,5799,5321,15524,3579,45,1651,1433,163,13,1672,1390
45,21.18620088,86,7885,11,6130,21316,8786,51,2789,1941,11,530,5087,43,74,328,6612,1612,0,646,7288,43,144840,38,11154,32844,12796,16413,73,3217,4459,139,53,27953,2103
89,21.29651613,107,2740,10,5550,14698,6488,13,2499,2078,27,408,2961,32,73,259,4735,1929,0,484,3743,40,55756,11,2746,6245,8612,9090,42,2933,1368,123,33,7476,1622
46,21.5367426,121,2602,34,2098,6457,1897,64,835,1086,21,398,1076,87,99,13,1855,439,3,984,2630,25,16313,49,3500,9662,4916,5199,139,3126,1941,210,116,8079,509
67,21.69704364,112,5992,18,4986,41344,49692,12,13926,2720,145,213,8143,20,41,942,16449,12682,0,441,14110,48,78019,6,9124,14602,11307,8326,47,5111,9349,110,79,17739,3829
32,21.91655757,150,4743,33,3385,9030,2562,75,1168,1857,15,533,3727,105,82,177,3522,488,7,1020,3394,47,69749,162,4665,15046,8538,9569,117,2309,1001,235,204,7813,786
2,21.95742104,49,2192,28,2536,6432,6957,99,2437,487,18,532,730,32,38,430,3328,1730,0,1196,3927,94,29017,2,5700,2648,9240,1856,105,874,1641,541,77,1696,2471
27,22.18403317,64,1105,25,1178,4712,1504,68,1156,353,44,437,962,51,175,16,1597,387,0,1389,2003,20,12453,10,725,1830,3737,1034,116,2712,1696,385,96,3846,589
75,22.31041376,184,2559,278,1843,15868,4987,248,2619,1389,54,3130,4076,355,596,193,6671,1205,4,4738,4623,425,19115,35,2745,2601,9286,7983,441,4496,2734,1629,343,8947,2116
76,22.31041376,184,2559,278,1843,15868,4987,248,2619,1389,54,3130,4076,355,596,193,6671,1205,4,4738,4623,425,19115,35,2745,2601,9286,7983,441,4496,2734,1629,343,8947,2116
28,23.06007835,34,1747,11,4609,12428,4397,22,1868,3072,14,227,2733,35,57,91,4104,1095,0,479,2792,48,38667,0,2140,5036,5633,6503,41,3022,833,71,50,3795,1453
73,23.37155719,20,2167,8,2920,12258,6531,26,3012,276,10,192,2630,26,40,187,5801,2939,0,989,4923,84,5849,12,1820,1802,6778,5782,82,2829,3465,218,51,6265,2343
30,23.37305041,73,26220,18,29135,99362,109551,48,29705,1287,29,419,26638,62,141,1274,45064,22510,1,1034,40610,37,203171,23,21482,30545,68879,29145,62,12712,34888,266,99,68265,15622
65,23.43824485,115,1466,14,2544,4879,2451,49,1091,2573,57,225,827,50,202,38,2436,847,2,1099,2925,61,20340,12,1364,3336,5017,3150,134,1947,1896,243,134,3962,702
15,23.64658742,163,2299,15,3644,20736,5381,74,2547,4007,17,498,1275,114,105,37,4871,2494,2,1098,4895,59,19044,30,3957,8155,8600,5261,108,3577,5126,304,217,7623,1371
70,23.96815007,118,3383,39,3425,12812,5600,62,3031,2666,16,627,3349,67,146,358,6898,3305,2,2579,5681,94,30971,53,4201,6351,13826,4468,130,3681,2495,450,97,4463,1853
69,23.96815007,118,3383,39,3425,12812,5600,62,3031,2666,16,627,3349,67,146,358,6898,3305,2,2579,5681,94,30971,53,4201,6351,13826,4468,130,3681,2495,450,97,4463,1853
63,24.08883741,152,2297,24,3323,8643,5298,53,2786,369,14,959,2025,68,146,225,4223,2923,2,2462,3835,103,6106,6,2539,920,8779,7419,231,2188,2122,612,82,2832,1877
64,24.08883741,152,2297,24,3323,8643,5298,53,2786,369,14,959,2025,68,146,225,4223,2923,2,2462,3835,103,6106,6,2539,920,8779,7419,231,2188,2122,612,82,2832,1877
60,24.74437713,257,2826,26,2980,25489,11850,74,4621,1274,24,621,5560,82,87,478,8383,3432,0,1441,6835,213,15234,40,1918,1576,10397,12331,129,2799,2568,300,137,9287,2260
59,24.74437713,257,2826,26,2980,25489,11850,74,4621,1274,24,621,5560,82,87,478,8383,3432,0,1441,6835,213,15234,40,1918,1576,10397,12331,129,2799,2568,300,137,9287,2260
43,25.35431122,148,1950,62,1094,6905,2050,87,1081,1031,6,503,1749,95,149,62,2072,408,2,1709,2295,141,16171,20,1213,5069,6231,5581,214,1791,1020,229,160,6408,593
16,25.76888009,82,4028,26,673,8616,5846,84,3346,438,23,171,4791,26,56,333,4283,3299,0,683,6380,71,44933,3,5793,5883,11869,3177,28,2711,2409,124,35,5343,1489
53,25.97442502,122,1887,53,4653,27890,9000,72,4407,1160,35,877,3849,64,169,147,6918,2016,2,1603,5832,135,18727,3,2459,1391,6152,13680,122,4124,3191,258,160,10650,2375
25,26.57175375,182,1359,41,1997,10968,2407,80,1598,954,89,388,1165,97,182,4,3135,876,0,2962,2816,228,4960,11,819,1212,2641,4277,365,2108,1665,528,161,6022,1036
1,26.62369718,230,1360,109,1021,11907,7409,104,3327,368,7,563,1041,129,199,28,2752,1399,2,2215,4698,175,10918,91,1614,2686,3061,3754,152,3117,2951,366,233,4595,685
6,26.6506511,183,2564,283,1519,21423,14801,91,4114,304,20,565,1499,194,193,206,5522,3348,2,2707,6728,209,16177,14,3301,2052,6737,3051,234,1091,3745,631,282,2189,2689
3,26.7663712,348,3398,100,1582,8071,3390,43,1196,1806,26,289,2112,40,93,70,3510,1251,4,2631,3673,56,25871,11,1718,6405,6097,7557,74,2138,1887,188,224,5252,896
86,26.84162199,144,1963,6,2895,14317,8085,24,2881,2707,31,272,2931,33,68,160,5603,2203,2,671,3596,91,11151,11,2638,3098,6949,4560,61,3119,1616,161,55,5646,1712
49,27.17329216,343,4193,329,2656,8626,16366,438,3580,579,48,3642,1574,126,479,250,7116,2572,5,17065,5274,153,18765,15,8514,9156,10039,2851,713,1822,3588,9454,381,6962,4083
40,27.436719500000002,114,2339,31,1707,14730,7071,80,4714,623,5,641,1825,75,58,37,5030,2673,0,1760,6713,50,7781,5,2733,2640,7501,9479,81,6335,4749,288,167,6575,1690
0,27.46831037,236,1444,28,3196,5779,2732,180,1365,2063,16,2916,1918,219,180,97,3551,370,13,2765,2105,101,10103,10,1483,1535,5899,3165,245,2119,1027,606,228,3475,2189
55,27.83062599,196,1239,153,1412,5757,2222,101,1439,1215,27,1856,1728,227,434,95,3925,554,5,2719,1979,162,9024,25,909,1222,4426,3749,396,1604,1322,1000,404,4801,978
41,28.40249904,19,2198,21,3006,6793,1549,23,1084,1543,27,162,2010,51,21,60,2862,515,0,358,1837,10,33434,52,2955,7934,3453,2693,23,2647,939,117,48,5951,1011
17,29.44978029,96,2132,45,2677,16246,7351,57,4040,288,2,881,3176,74,195,51,5664,3046,2,2074,6823,80,14337,12,1447,3040,13702,8897,153,4170,4057,305,188,7527,2268
48,29.53222207,166,9842,22,7665,45327,42242,78,10388,3634,31,1260,10598,92,157,746,22276,8070,0,2393,16134,91,37767,12,21687,25888,25072,12168,252,9681,9494,422,196,24071,7586
24,29.71202355,109,5012,82,3107,12562,7065,58,3151,880,30,1064,2352,50,203,78,4042,2121,6,2653,6093,166,57922,36,2257,7154,8610,6836,244,3802,2865,527,433,6820,988
19,29.97617747,104,1488,25,2165,6807,3543,98,1723,569,12,999,2365,65,155,72,2913,1185,0,1021,3630,181,1778,8,869,734,3100,3468,142,3744,1103,448,177,4097,950
47,30.31452911,126,1661,87,1629,2208,1923,48,1746,456,78,958,984,311,225,41,2044,889,8,2301,2964,108,5104,4,1820,900,2707,2062,206,1599,2130,666,87,3354,742
38,31.27715677,104,1275,20,2539,5364,2824,40,1220,767,2,902,2300,58,94,62,2480,900,0,1654,4080,95,9931,54,3656,1532,8513,5180,131,1729,1908,203,69,3706,1918
93,31.4142587,703,2692,98,1174,9671,4342,245,1567,89,26,939,2987,86,204,100,4528,1093,62,3499,3318,919,40796,821,4350,3327,15670,2894,429,1115,2840,1063,556,3474,1230
95,31.57140484,46,3484,21,2376,13880,3827,22,1680,1400,39,261,1854,28,66,33,3637,256,0,1080,2960,55,61423,14,3549,10697,4917,5725,53,2590,1585,180,155,12533,1039
10,32.43326362,170,10270,76,5408,23302,13315,223,2612,827,170,1488,6962,219,280,159,10200,2676,0,3403,15119,228,52467,4,10399,20795,16055,14115,219,4049,5890,512,354,15736,2821
5,32.48487032,206,1647,8,3433,9953,5831,43,3251,745,15,247,1955,51,69,169,5141,3380,4,1232,4822,41,9954,9,2147,2085,7623,3935,60,2705,2799,182,37,3600,2059
84,32.78202214,448,940,293,304,5003,1421,153,580,105,6,1848,936,172,323,14,1276,218,2,7518,1537,775,16552,580,852,1942,9242,1666,622,1247,1265,1095,885,3584,349
20,33.27000037,136,3010,130,3353,16891,10219,456,5288,654,25,1888,2118,305,178,65,6512,2849,0,3496,5657,76,33637,75,4947,6684,14738,5663,139,4777,4906,1622,498,8054,2827
56,33.46764857,130,3306,90,3392,10217,10125,110,4555,113,12,3900,3377,167,230,506,7399,3961,4,3051,6197,53,30498,0,5214,5885,11545,5588,354,2031,3379,1092,381,6194,2306
96,34.81019223,328,889,134,945,4721,2045,117,1148,153,6,2063,1719,144,323,31,1798,531,4,5791,1953,786,33500,1022,746,1985,12846,2488,410,1633,1062,799,385,3254,608
29,34.84930944,105,1539,9,1193,8829,4431,111,913,217,22,893,2322,92,97,26,3181,397,0,2746,2586,161,3666,42,828,288,7540,5173,159,1827,1227,314,177,9122,1240
33,35.39169878,259,6188,68,2210,29767,20006,79,8733,830,2,321,4642,143,145,36,9181,5440,1,2750,15758,77,46485,1204,7032,17499,21898,14980,184,5654,10991,308,90,18172,2154
12,35.75973285,345,3715,31,2783,13590,7170,120,1958,397,90,627,3946,95,107,95,8384,1450,5,1710,4188,74,30262,25,4427,2623,10890,3576,136,3114,3331,931,105,4506,2877
9,36.28088893,129,2502,35,1301,12395,5771,69,3003,386,21,962,2396,58,120,76,6750,1707,11,916,5113,80,21923,13,2075,1815,5921,2872,115,2581,3852,428,211,5907,2367
66,36.83661472,45,1344,20,1588,4100,1986,41,1069,1010,12,1447,1667,58,106,116,2315,355,2,1051,1661,79,9463,5,611,1157,4433,6949,130,2231,749,304,153,4986,1001
4,38.36564164,347,1671,10,3073,3983,3571,81,1182,474,7,530,878,74,243,56,2357,686,0,1255,2556,60,18929,47,2224,4251,10645,3345,183,706,1365,414,168,3277,1713
8,42.83331058,284,3589,37,6716,33271,16736,76,5843,3611,2,914,5173,107,101,535,12053,3890,4,1699,7010,185,14718,41,2716,3066,12793,13694,140,3457,3871,517,219,13036,3556
81,43.05962205,502,3263,35,4939,28900,17245,59,6253,1273,11,438,2946,23,116,146,7054,3884,0,1011,11463,49,30548,43,1489,5903,14695,14337,78,4542,6231,240,103,15484,2045
74,43.44997468,26,3001,20,5112,13970,6059,93,1584,2777,18,1227,2625,76,116,194,5307,1361,10,944,4717,82,64583,2,4822,6725,11165,7050,54,1764,2510,332,43,7922,3037
68,45.13914606,87,2543,91,1191,6287,9858,853,3875,2245,13,323,3628,21,51,223,5432,3156,0,800,6976,40,17286,12,3461,2340,19159,3389,62,2093,2952,723,40,4612,1150
37,47.83158365,152,2653,18,3069,4902,1864,78,1521,1321,22,709,710,74,139,41,1655,446,1,1194,2683,46,233391,13,2307,11138,3377,5518,245,1123,1002,271,88,5836,465
88,52.09965358,235,2992,18,2389,18621,12754,43,4807,1122,3,1287,5726,66,105,491,7806,3207,0,299,6953,75,8960,3,4776,2471,9959,10653,92,5359,1914,156,103,6451,3606
87,52.09965358,235,2992,18,2389,18621,12754,43,4807,1122,3,1287,5726,66,105,491,7806,3207,0,299,6953,75,8960,3,4776,2471,9959,10653,92,5359,1914,156,103,6451,3606
39,57.024628500000006,245,1293,49,2112,5070,2631,92,1093,293,4,954,1166,63,138,33,1949,446,2,1815,1796,382,25912,304,217,924,10568,2371,242,1960,1291,505,374,1726,505
11,58.40273202,119,1675,32,2147,5489,2776,103,1210,1153,14,1143,2193,185,144,102,3808,527,8,1229,2352,96,8632,8,2384,1286,4554,4549,98,2107,1358,435,166,5249,1845
57,58.76214118,201,1446,33,2060,5007,1905,102,1020,481,12,1521,994,168,173,60,3158,650,5,1283,2296,89,38150,0,2070,2226,5331,2660,155,1638,1405,768,200,2166,1174
83,58.792592000000006,44,2116,10,4263,9144,5196,61,2508,713,30,809,2986,83,91,217,3446,954,2,1179,4275,22,18139,36,2078,1181,6934,6699,135,3849,2452,138,33,4175,2159
18,60.97296321,185,1856,28,6780,3851,2171,92,1223,1040,20,828,631,114,185,207,3646,1046,0,1720,2568,141,11204,6,2346,2515,5633,3386,160,1275,1372,662,164,3188,1121
94,61.63360596,100,1596,16,1479,11163,5707,62,1692,775,45,1158,2178,75,163,82,4580,1453,16,1542,3157,55,5590,14,1884,1496,3721,4710,189,2794,1921,256,111,5909,1891
51,62.56649953,594,13538,19,12642,67433,84944,56,18647,2760,8,756,14121,82,123,1011,26540,13496,8,1833,26175,187,116620,9,12045,16592,26839,14684,130,5683,11820,307,42,25737,6963
52,62.56649953,594,13538,19,12642,67433,84944,56,18647,2760,8,756,14121,82,123,1011,26540,13496,8,1833,26175,187,116620,9,12045,16592,26839,14684,130,5683,11820,307,42,25737,6963
50,62.56649953,594,13538,19,12642,67433,84944,56,18647,2760,8,756,14121,82,123,1011,26540,13496,8,1833,26175,187,116620,9,12045,16592,26839,14684,130,5683,11820,307,42,25737,6963
42,66.31720503,181,3268,21,4469,8289,3567,43,1984,908,47,338,2757,43,86,141,4114,1619,0,1235,4843,52,23035,28,2483,5028,7149,10521,90,1823,2269,219,23,6071,2118
62,69.37480108,97,1592,11,1863,12630,6949,40,2092,768,2,1169,3450,38,92,260,4569,1421,4,991,3896,45,4509,4,2044,684,5622,6003,139,1517,1591,196,76,3115,2209
34,69.72447241,180,1289,8,4254,10745,5911,37,2790,1159,5,850,2141,51,136,180,2792,612,0,303,2462,67,11507,6,5048,1699,5464,6911,73,1332,817,92,35,2149,1691
7,71.04103655,327,1810,426,1265,4429,2620,153,1809,262,16,1371,445,412,174,103,3728,1021,16,2897,2575,124,9111,6,1753,1325,3544,1139,243,884,1702,1286,42,1825,2359
72,74.94198586,197,795,27,374,3562,1370,63,732,631,25,814,1093,56,94,39,1862,185,2,1332,1271,51,3788,1,380,356,3351,2861,95,776,583,172,113,2235,909
71,74.94198586,197,795,27,374,3562,1370,63,732,631,25,814,1093,56,94,39,1862,185,2,1332,1271,51,3788,1,380,356,3351,2861,95,776,583,172,113,2235,909
85,76.17773966,327,1653,44,1517,13939,4062,62,2259,1319,18,821,2894,245,121,247,5155,960,0,3364,3233,454,11680,7,1583,1448,7515,8332,261,1675,1206,604,165,4942,1564
